iso3,country_name,continent,un_region,income_group
NIU,Niue,Oceania,Polynesia,Upper middle income
NLD,Netherlands,Europe,Western Europe,High income
NOR,Norway,Europe,Northern Europe,High income
NPL,Nepal,Asia,South Asia,Lower middle income
NRU,Nauru,Oceania,Micronesia,High income
NZL,New Zealand,Oceania,Australia/NZ,High income
OMN,Oman,Asia,Western Asia,High income
PAK,Pakistan,Asia,South Asia,Lower middle income
PAN,Panama,Americas,Latin America,High income
PER,Peru,Americas,Latin America,Upper middle income
PHL,Philippines,Asia,South-Eastern Asia,Lower middle income
PLW,Palau,Oceania,Micronesia,High income
PNG,Papua New Guinea,Oceania,Melanesia,Lower middle income
POL,Poland,Europe,Eastern Europe,High income
PRI,Puerto Rico,Americas,Latin America,High income
PRK,North Korea,Asia,Eastern Asia,Low income
PRT,Portugal,Europe,Southern Europe,High income
PRY,Paraguay,Americas,Latin America,Upper middle income
PSE,Palestine,Asia,Western Asia,Lower middle income
PYF,French Polynesia,Oceania,Polynesia,High income
QAT,Qatar,Asia,Western Asia,High income
REU,Réunion,Africa,Sub-Saharan Africa,High income
ROU,Romania,Europe,Eastern Europe,High income
RUS,Russia,Europe,Eastern Europe,Upper middle income
RWA,Rwanda,Africa,Sub-Saharan Africa,Low income
SAU,Saudi Arabia,Asia,Western Asia,High income
SDN,Sudan,Africa,Sub-Saharan Africa,Low income
SEN,Senegal,Africa,Sub-Saharan Africa,Lower middle income
SGP,Singapore,Asia,South-Eastern Asia,High income
SHN,Saint Helena,Africa,Sub-Saharan Africa,Upper middle income
SLB,Solomon Islands,Oceania,Melanesia,Lower middle income
SLE,Sierra Leone,Africa,Sub-Saharan Africa,Low income
SLV,El Salvador,Americas,Latin America,Lower middle income
SMR,San Marino,Europe,Southern Europe,High income
SOM,Somalia,Africa,Sub-Saharan Africa,Low income
SPM,Saint Pierre and Miquelon,Americas,Northern America,High income
SRB,Serbia,Europe,Eastern Europe,Upper middle income
SSD,South Sudan,Africa,Sub-Saharan Africa,Low income
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,Lower middle income
SUR,Suriname,Americas,Latin America,Upper middle income
SVK,Slovakia,Europe,Eastern Europe,High income
SVN,Slovenia,Europe,Eastern Europe,High income
SWE,Sweden,Europe,Northern Europe,High income
SWZ,Eswatini,Africa,Sub-Saharan Africa,Lower middle income
SXM,Sint Maarten,Americas,Caribbean,High income
SYC,Seychelles,Africa,Sub-Saharan Africa,High income
SYR,Syria,Asia,Western Asia,Low income
TCA,Turks and Caicos Islands,Americas,Caribbean,High income
TCD,Chad,Africa,Sub-Saharan Africa,Low income
TGO,Togo,Africa,Sub-Saharan Africa,Low income
THA,Thailand,Asia,South-Eastern Asia,Upper middle income
TJK,Tajikistan,Asia,Central Asia,Low income
TKL,Tokelau,Oceania,Polynesia,Lower middle income
TKM,Turkmenistan,Asia,Central Asia,Upper middle income
TLS,Timor-Leste,Asia,South-Eastern Asia,Lower middle income
TON,Tonga,Oceania,Polynesia,Upper middle income
TTO,Trinidad and Tobago,Americas,Latin America,High income
TUN,Tunisia,Africa,Northern Africa,Lower middle income
TUR,Turkey,Asia,Western Asia,Upper middle income
TUV,Tuvalu,Oceania,Polynesia,Upper middle income
TWN,Taiwan,Asia,Eastern Asia,High income
TZA,Tanzania,Africa,Sub-Saharan Africa,Lower middle income
UGA,Uganda,Africa,Sub-Saharan Africa,Low income
UKR,Ukraine,Europe,Eastern Europe,Lower middle income
URY,Uruguay,Americas,Latin America,High income
USA,United States,Americas,Northern America,High income
UZB,Uzbekistan,Asia,Central Asia,Lower middle income
VAT,Holy See,Europe,Southern Europe,High income
VCT,Saint Vincent and the Grenadines,Americas,Caribbean,Upper middle income
VEN,Venezuela,Americas,Latin America,Lower middle income
VGB,British Virgin Islands,Americas,Caribbean,High income
VIR,United States Virgin Islands,Americas,Caribbean,High income
VNM,Vietnam,Asia,South-Eastern Asia,Lower middle income
VUT,Vanuatu,Oceania,Melanesia,Lower middle income
WLF,Wallis and Futuna Islands,Oceania,Polynesia,Upper middle income
WSM,Samoa,Oceania,Polynesia,Lower middle income
YEM,Yemen,Asia,Western Asia,Low income
ZAF,South Africa,Africa,Sub-Saharan Africa,Upper middle income
ZMB,Zambia,Africa,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,Low income
