iso3,year,visa_openness_index
ATG,2009,0.0
ATG,2010,119.0
ATG,2011,128.0
ATG,2012,126.0
ATG,2013,130.0
ATG,2014,132.0
ATG,2015,133.0
ATG,2016,134.0
ATG,2017,136.0
ATG,2018,150.0
ATG,2019,149.0
ATG,2020,151.0
ATG,2021,150.0
ATG,2022,150.0
ATG,2023,151.0
ATG,2024,153.0
ATG,2025,152.0
AUS,1990,86.4
AUS,1995,96.0
AUS,2000,105.6
AUS,2005,115.2
AUS,2006,120.0
AUS,2007,0.0
AUS,2008,151.0
AUS,2009,0.0
AUS,2010,157.0
AUS,2011,166.0
AUS,2012,163.0
AUS,2013,167.0
AUS,2014,168.0
AUS,2015,168.0
AUS,2016,169.0
AUS,2017,170.0
AUS,2018,183.0
AUS,2019,181.0
AUS,2020,184.0
AUS,2021,184.0
AUS,2022,185.0
AUS,2023,185.0
AUS,2024,189.0
AUS,2025,185.0
AUT,1990,90.0
AUT,1995,100.0
AUT,2000,110.0
AUT,2005,120.0
AUT,2006,125.0
AUT,2007,0.0
AUT,2008,153.0
AUT,2009,0.0
AUT,2010,158.0
AUT,2011,168.0
AUT,2012,163.0
AUT,2013,168.0
AUT,2014,171.0
AUT,2015,169.0
AUT,2016,173.0
AUT,2017,173.0
AUT,2018,186.0
AUT,2019,185.0
AUT,2020,187.0
AUT,2021,188.0
AUT,2022,188.0
AUT,2023,188.0
AUT,2024,192.0
AUT,2025,188.0
AZE,1990,20.2
AZE,1995,22.4
AZE,2000,24.6
AZE,2005,26.9
AZE,2006,28.0
AZE,2007,0.0
AZE,2008,44.0
AZE,2009,0.0
AZE,2010,51.0
AZE,2011,56.0
AZE,2012,57.0
AZE,2013,56.0
AZE,2014,58.0
AZE,2015,58.0
AZE,2016,62.0
AZE,2017,64.0
AZE,2018,66.0
AZE,2019,66.0
AZE,2020,67.0
AZE,2021,68.0
AZE,2022,69.0
AZE,2023,70.0
AZE,2024,72.0
AZE,2025,71.0
BDI,1990,15.0
BDI,1995,15.0
BDI,2000,15.8
BDI,2005,17.3
BDI,2006,18.0
BDI,2007,0.0
BDI,2008,30.0
BDI,2009,0.0
BDI,2010,37.0
BDI,2011,35.0
BDI,2012,40.0
BDI,2013,41.0
BDI,2014,42.0
BDI,2015,41.0
BDI,2016,42.0
BDI,2017,44.0
BDI,2018,46.0
BDI,2019,48.0
BDI,2020,50.0
BDI,2021,51.0
BDI,2022,51.0
BDI,2023,50.0
BDI,2024,51.0
BDI,2025,48.0
BEL,1990,91.4
BEL,1995,101.6
BEL,2000,111.8
BEL,2005,121.9
BEL,2006,127.0
BEL,2007,0.0
BEL,2008,155.0
BEL,2009,0.0
BEL,2010,160.0
BEL,2011,171.0
BEL,2012,167.0
BEL,2013,171.0
BEL,2014,172.0
BEL,2015,170.0
BEL,2016,174.0
BEL,2017,173.0
BEL,2018,185.0
BEL,2019,184.0
BEL,2020,185.0
BEL,2021,186.0
BEL,2022,186.0
BEL,2023,186.0
BEL,2024,191.0
BEL,2025,188.0
BEN,1990,25.9
BEN,1995,28.8
BEN,2000,31.7
BEN,2005,34.6
BEN,2006,36.0
BEN,2007,0.0
BEN,2008,47.0
BEN,2009,0.0
BEN,2010,54.0
BEN,2011,53.0
BEN,2012,55.0
BEN,2013,55.0
BEN,2014,58.0
BEN,2015,56.0
BEN,2016,59.0
BEN,2017,58.0
BEN,2018,61.0
BEN,2019,62.0
BEN,2020,62.0
BEN,2021,61.0
BEN,2022,61.0
BEN,2023,61.0
BEN,2024,63.0
BEN,2025,67.0
BFA,1990,25.2
BFA,1995,28.0
BFA,2000,30.8
BFA,2005,33.6
BFA,2006,35.0
BFA,2007,0.0
BFA,2008,44.0
BFA,2009,0.0
BFA,2010,51.0
BFA,2011,51.0
BFA,2012,54.0
BFA,2013,53.0
BFA,2014,55.0
BFA,2015,52.0
BFA,2016,56.0
BFA,2017,56.0
BFA,2018,57.0
BFA,2019,58.0
BFA,2020,59.0
BFA,2021,58.0
BFA,2022,58.0
BFA,2023,58.0
BFA,2024,60.0
BFA,2025,59.0
BGD,1990,20.2
BGD,1995,22.4
BGD,2000,24.6
BGD,2005,26.9
BGD,2006,28.0
BGD,2007,0.0
BGD,2008,39.0
BGD,2009,0.0
BGD,2010,42.0
BGD,2011,39.0
BGD,2012,40.0
BGD,2013,41.0
BGD,2014,42.0
BGD,2015,40.0
BGD,2016,39.0
BGD,2017,38.0
BGD,2018,41.0
BGD,2019,40.0
BGD,2020,41.0
BGD,2021,40.0
BGD,2022,40.0
BGD,2023,41.0
BGD,2024,42.0
BGD,2025,39.0
BGR,1990,59.8
BGR,1995,66.4
BGR,2000,73.0
BGR,2005,79.7
BGR,2006,83.0
BGR,2007,0.0
BGR,2008,116.0
BGR,2009,0.0
BGR,2010,133.0
BGR,2011,143.0
BGR,2012,137.0
BGR,2013,141.0
BGR,2014,149.0
BGR,2015,149.0
BGR,2016,153.0
BGR,2017,154.0
BGR,2018,169.0
BGR,2019,170.0
BGR,2020,171.0
BGR,2021,173.0
BGR,2022,173.0
BGR,2023,174.0
BGR,2024,179.0
BGR,2025,177.0
BHR,1990,27.4
BHR,1995,30.4
BHR,2000,33.4
BHR,2005,36.5
BHR,2006,38.0
BHR,2007,0.0
BHR,2008,53.0
BHR,2009,0.0
BHR,2010,67.0
BHR,2011,65.0
BHR,2012,66.0
BHR,2013,69.0
BHR,2014,69.0
BHR,2015,70.0
BHR,2016,73.0
BHR,2017,73.0
BHR,2018,81.0
BHR,2019,81.0
BHR,2020,83.0
BHR,2021,84.0
BHR,2022,84.0
BHR,2023,87.0
BHR,2024,91.0
BHR,2025,90.0
BHS,1990,51.1
BHS,1995,56.8
BHS,2000,62.5
BHS,2005,68.2
BHS,2006,71.0
BHS,2007,0.0
BHS,2008,96.0
BHS,2009,0.0
BHS,2010,124.0
BHS,2011,136.0
BHS,2012,133.0
BHS,2013,137.0
BHS,2014,138.0
BHS,2015,139.0
BHS,2016,140.0
BHS,2017,141.0
BHS,2018,155.0
BHS,2019,154.0
BHS,2020,155.0
BHS,2021,155.0
BHS,2022,155.0
BHS,2023,155.0
BHS,2024,158.0
BHS,2025,159.0
BIH,1990,18.0
BIH,1995,20.0
BIH,2000,22.0
BIH,2005,24.0
BIH,2006,25.0
BIH,2007,0.0
BIH,2008,40.0
BIH,2009,0.0
BIH,2010,53.0
BIH,2011,87.0
BIH,2012,87.0
BIH,2013,91.0
BIH,2014,95.0
BIH,2015,98.0
BIH,2016,101.0
BIH,2017,103.0
BIH,2018,118.0
BIH,2019,116.0
BIH,2020,117.0
BIH,2021,116.0
BIH,2022,117.0
BIH,2023,118.0
BIH,2024,121.0
BIH,2025,123.0
BLR,1990,23.0
BLR,1995,25.6
BLR,2000,28.2
BLR,2005,30.7
BLR,2006,32.0
BLR,2007,0.0
BLR,2008,49.0
BLR,2009,0.0
BLR,2010,56.0
BLR,2011,57.0
BLR,2012,59.0
BLR,2013,61.0
BLR,2014,63.0
BLR,2015,62.0
BLR,2016,67.0
BLR,2017,67.0
BLR,2018,77.0
BLR,2019,75.0
BLR,2020,75.0
BLR,2021,78.0
BLR,2022,79.0
BLR,2023,78.0
BLR,2024,81.0
BLR,2025,81.0
BLZ,1990,41.8
BLZ,1995,46.4
BLZ,2000,51.0
BLZ,2005,55.7
BLZ,2006,58.0
BLZ,2007,0.0
BLZ,2008,75.0
BLZ,2009,0.0
BLZ,2010,82.0
BLZ,2011,83.0
BLZ,2012,86.0
BLZ,2013,87.0
BLZ,2014,93.0
BLZ,2015,91.0
BLZ,2016,94.0
BLZ,2017,95.0
BLZ,2018,101.0
BLZ,2019,99.0
BLZ,2020,101.0
BLZ,2021,101.0
BLZ,2022,101.0
BLZ,2023,103.0
BLZ,2024,104.0
BLZ,2025,102.0
BOL,1990,59.8
BOL,1995,66.4
BOL,2000,73.0
BOL,2005,79.7
BOL,2006,83.0
BOL,2007,0.0
BOL,2008,65.0
BOL,2009,0.0
BOL,2010,62.0
BOL,2011,67.0
BOL,2012,69.0
BOL,2013,73.0
BOL,2014,74.0
BOL,2015,71.0
BOL,2016,72.0
BOL,2017,75.0
BOL,2018,79.0
BOL,2019,78.0
BOL,2020,78.0
BOL,2021,79.0
BOL,2022,79.0
BOL,2023,80.0
BOL,2024,82.0
BOL,2025,78.0
BRA,1990,71.3
BRA,1995,79.2
BRA,2000,87.1
BRA,2005,95.0
BRA,2006,99.0
BRA,2007,0.0
BRA,2008,122.0
BRA,2009,0.0
BRA,2010,130.0
BRA,2011,140.0
BRA,2012,141.0
BRA,2013,146.0
BRA,2014,146.0
BRA,2015,148.0
BRA,2016,153.0
BRA,2017,156.0
BRA,2018,171.0
BRA,2019,170.0
BRA,2020,170.0
BRA,2021,170.0
BRA,2022,169.0
BRA,2023,170.0
BRA,2024,173.0
BRA,2025,170.0
BRB,1990,51.1
BRB,1995,56.8
BRB,2000,62.5
BRB,2005,68.2
BRB,2006,71.0
BRB,2007,0.0
BRB,2008,89.0
BRB,2009,0.0
BRB,2010,127.0
BRB,2011,137.0
BRB,2012,135.0
BRB,2013,137.0
BRB,2014,138.0
BRB,2015,138.0
BRB,2016,141.0
BRB,2017,143.0
BRB,2018,161.0
BRB,2019,159.0
BRB,2020,161.0
BRB,2021,161.0
BRB,2022,161.0
BRB,2023,163.0
BRB,2024,165.0
BRB,2025,163.0
BRN,1990,72.7
BRN,1995,80.8
BRN,2000,88.9
BRN,2005,97.0
BRN,2006,101.0
BRN,2007,0.0
BRN,2008,129.0
BRN,2009,0.0
BRN,2010,134.0
BRN,2011,144.0
BRN,2012,139.0
BRN,2013,146.0
BRN,2014,150.0
BRN,2015,150.0
BRN,2016,151.0
BRN,2017,152.0
BRN,2018,165.0
BRN,2019,165.0
BRN,2020,166.0
BRN,2021,166.0
BRN,2022,166.0
BRN,2023,166.0
BRN,2024,168.0
BRN,2025,164.0
BTN,1990,15.0
BTN,1995,15.2
BTN,2000,16.7
BTN,2005,18.2
BTN,2006,19.0
BTN,2007,0.0
BTN,2008,36.0
BTN,2009,0.0
BTN,2010,44.0
BTN,2011,44.0
BTN,2012,46.0
BTN,2013,49.0
BTN,2014,51.0
BTN,2015,48.0
BTN,2016,51.0
BTN,2017,51.0
BTN,2018,55.0
BTN,2019,52.0
BTN,2020,53.0
BTN,2021,52.0
BTN,2022,53.0
BTN,2023,53.0
BTN,2024,55.0
BTN,2025,51.0
BWA,1990,34.6
BWA,1995,38.4
BWA,2000,42.2
BWA,2005,46.1
BWA,2006,48.0
BWA,2007,0.0
BWA,2008,59.0
BWA,2009,0.0
BWA,2010,69.0
BWA,2011,68.0
BWA,2012,70.0
BWA,2013,70.0
BWA,2014,73.0
BWA,2015,72.0
BWA,2016,72.0
BWA,2017,74.0
BWA,2018,82.0
BWA,2019,83.0
BWA,2020,85.0
BWA,2021,86.0
BWA,2022,86.0
BWA,2023,87.0
BWA,2024,91.0
BWA,2025,85.0
CAF,1990,20.2
CAF,1995,22.4
CAF,2000,24.6
CAF,2005,26.9
CAF,2006,28.0
CAF,2007,0.0
CAF,2008,37.0
CAF,2009,0.0
CAF,2010,46.0
CAF,2011,44.0
CAF,2012,47.0
CAF,2013,49.0
CAF,2014,48.0
CAF,2015,44.0
CAF,2016,48.0
CAF,2017,46.0
CAF,2018,49.0
CAF,2019,51.0
CAF,2020,52.0
CAF,2021,52.0
CAF,2022,52.0
CAF,2023,52.0
CAF,2024,55.0
CAF,2025,51.0
CAN,1990,90.0
CAN,1995,100.0
CAN,2000,110.0
CAN,2005,120.0
CAN,2006,125.0
CAN,2007,0.0
CAN,2008,154.0
CAN,2009,0.0
CAN,2010,157.0
CAN,2011,164.0
CAN,2012,163.0
CAN,2013,170.0
CAN,2014,173.0
CAN,2015,170.0
CAN,2016,172.0
CAN,2017,171.0
CAN,2018,185.0
CAN,2019,184.0
CAN,2020,183.0
CAN,2021,184.0
CAN,2022,185.0
CAN,2023,185.0
CAN,2024,188.0
CAN,2025,184.0
CHE,1990,91.4
CHE,1995,101.6
CHE,2000,111.8
CHE,2005,121.9
CHE,2006,127.0
CHE,2007,0.0
CHE,2008,149.0
CHE,2009,0.0
CHE,2010,156.0
CHE,2011,167.0
CHE,2012,162.0
CHE,2013,168.0
CHE,2014,170.0
CHE,2015,169.0
CHE,2016,172.0
CHE,2017,171.0
CHE,2018,185.0
CHE,2019,184.0
CHE,2020,185.0
CHE,2021,186.0
CHE,2022,186.0
CHE,2023,186.0
CHE,2024,190.0
CHE,2025,187.0
CHL,1990,78.5
CHL,1995,87.2
CHL,2000,95.9
CHL,2005,104.6
CHL,2006,109.0
CHL,2007,0.0
CHL,2008,127.0
CHL,2009,0.0
CHL,2010,131.0
CHL,2011,141.0
CHL,2012,137.0
CHL,2013,141.0
CHL,2014,149.0
CHL,2015,150.0
CHL,2016,155.0
CHL,2017,157.0
CHL,2018,174.0
CHL,2019,174.0
CHL,2020,174.0
CHL,2021,174.0
CHL,2022,174.0
CHL,2023,174.0
CHL,2024,177.0
CHL,2025,176.0
CHN,1990,15.0
CHN,1995,15.0
CHN,2000,15.8
CHN,2005,17.3
CHN,2006,18.0
CHN,2007,0.0
CHN,2008,33.0
CHN,2009,0.0
CHN,2010,38.0
CHN,2011,40.0
CHN,2012,41.0
CHN,2013,44.0
CHN,2014,45.0
CHN,2015,45.0
CHN,2016,50.0
CHN,2017,51.0
CHN,2018,74.0
CHN,2019,71.0
CHN,2020,75.0
CHN,2021,79.0
CHN,2022,80.0
CHN,2023,80.0
CHN,2024,85.0
CHN,2025,83.0
CIV,1990,15.0
CIV,1995,15.0
CIV,2000,15.0
CIV,2005,15.0
CIV,2006,0.0
CIV,2007,0.0
CIV,2008,0.0
CIV,2009,0.0
CIV,2010,0.0
CIV,2011,52.0
CIV,2012,54.0
CIV,2013,55.0
CIV,2014,56.0
CIV,2015,54.0
CIV,2016,56.0
CIV,2017,53.0
CIV,2018,56.0
CIV,2019,57.0
CIV,2020,57.0
CIV,2021,56.0
CIV,2022,56.0
CIV,2023,57.0
CIV,2024,59.0
CIV,2025,59.0
CMR,1990,18.7
CMR,1995,20.8
CMR,2000,22.9
CMR,2005,25.0
CMR,2006,26.0
CMR,2007,0.0
CMR,2008,37.0
CMR,2009,0.0
CMR,2010,42.0
CMR,2011,38.0
CMR,2012,39.0
CMR,2013,44.0
CMR,2014,46.0
CMR,2015,44.0
CMR,2016,45.0
CMR,2017,45.0
CMR,2018,48.0
CMR,2019,49.0
CMR,2020,49.0
CMR,2021,50.0
CMR,2022,50.0
CMR,2023,51.0
CMR,2024,53.0
CMR,2025,49.0
COD,1990,15.0
COD,1995,15.0
COD,2000,15.0
COD,2005,15.0
COD,2008,0.0
COD,2009,0.0
COD,2010,36.0
COD,2011,34.0
COD,2012,38.0
COD,2013,39.0
COD,2014,40.0
COD,2015,37.0
COD,2016,39.0
COD,2017,40.0
COD,2018,43.0
COD,2019,42.0
COD,2020,42.0
COD,2021,42.0
COD,2022,42.0
COD,2023,42.0
COD,2024,46.0
COD,2025,43.0
COG,1990,19.4
COG,1995,21.6
COG,2000,23.8
COG,2005,25.9
COG,2006,27.0
COG,2007,0.0
COG,2008,36.0
COG,2009,0.0
COG,2010,42.0
COG,2011,39.0
COG,2012,42.0
COG,2013,44.0
COG,2014,44.0
COG,2015,41.0
COG,2016,44.0
COG,2017,43.0
COG,2018,47.0
COG,2019,47.0
COG,2020,48.0
COG,2021,48.0
COG,2022,48.0
COG,2023,49.0
COG,2024,52.0
COG,2025,48.0
COL,1990,23.0
COL,1995,25.6
COL,2000,28.2
COL,2005,30.7
COL,2006,32.0
COL,2007,0.0
COL,2008,48.0
COL,2009,0.0
COL,2010,54.0
COL,2011,54.0
COL,2012,59.0
COL,2013,63.0
COL,2014,66.0
COL,2015,66.0
COL,2016,103.0
COL,2017,107.0
COL,2018,127.0
COL,2019,126.0
COL,2020,127.0
COL,2021,129.0
COL,2022,131.0
COL,2023,133.0
COL,2024,135.0
COL,2025,132.0
COM,1990,15.0
COM,1995,15.0
COM,2000,15.0
COM,2005,15.0
COM,2008,0.0
COM,2009,0.0
COM,2010,0.0
COM,2011,0.0
COM,2012,0.0
COM,2013,0.0
COM,2014,0.0
COM,2015,0.0
COM,2016,0.0
COM,2017,0.0
COM,2018,52.0
COM,2019,53.0
COM,2020,53.0
COM,2021,53.0
COM,2022,53.0
COM,2023,53.0
COM,2024,55.0
COM,2025,52.0
CPV,1990,15.0
CPV,1995,15.0
CPV,2000,15.0
CPV,2005,15.0
CPV,2008,0.0
CPV,2009,0.0
CPV,2010,0.0
CPV,2011,0.0
CPV,2012,0.0
CPV,2013,0.0
CPV,2014,0.0
CPV,2015,0.0
CPV,2016,0.0
CPV,2017,0.0
CPV,2018,65.0
CPV,2019,66.0
CPV,2020,66.0
CPV,2021,66.0
CPV,2022,66.0
CPV,2023,66.0
CPV,2024,69.0
CPV,2025,67.0
CRI,1990,68.4
CRI,1995,76.0
CRI,2000,83.6
CRI,2005,91.2
CRI,2006,95.0
CRI,2007,0.0
CRI,2008,108.0
CRI,2009,0.0
CRI,2010,114.0
CRI,2011,120.0
CRI,2012,117.0
CRI,2013,122.0
CRI,2014,125.0
CRI,2015,127.0
CRI,2016,131.0
CRI,2017,134.0
CRI,2018,149.0
CRI,2019,150.0
CRI,2020,150.0
CRI,2021,149.0
CRI,2022,150.0
CRI,2023,150.0
CRI,2024,152.0
CRI,2025,149.0
CUB,1990,19.4
CUB,1995,21.6
CUB,2000,23.8
CUB,2005,25.9
CUB,2006,27.0
CUB,2007,0.0
CUB,2008,42.0
CUB,2009,0.0
CUB,2010,49.0
CUB,2011,52.0
CUB,2012,56.0
CUB,2013,61.0
CUB,2014,61.0
CUB,2015,59.0
CUB,2016,59.0
CUB,2017,60.0
CUB,2018,65.0
CUB,2019,65.0
CUB,2020,64.0
CUB,2021,63.0
CUB,2022,64.0
CUB,2023,65.0
CUB,2024,64.0
CUB,2025,60.0
CYP,1990,81.4
CYP,1995,90.4
CYP,2000,99.4
CYP,2005,108.5
CYP,2006,113.0
CYP,2007,0.0
CYP,2008,139.0
CYP,2009,0.0
CYP,2010,142.0
CYP,2011,150.0
CYP,2012,146.0
CYP,2013,151.0
CYP,2014,157.0
CYP,2015,157.0
CYP,2016,159.0
CYP,2017,158.0
CYP,2018,173.0
CYP,2019,173.0
CYP,2020,174.0
CYP,2021,176.0
CYP,2022,176.0
CYP,2023,177.0
CYP,2024,182.0
CYP,2025,178.0
CZE,1990,70.6
CZE,1995,78.4
CZE,2000,86.2
CZE,2005,94.1
CZE,2006,98.0
CZE,2007,0.0
CZE,2008,131.0
CZE,2009,0.0
CZE,2010,142.0
CZE,2011,155.0
CZE,2012,152.0
CZE,2013,155.0
CZE,2014,162.0
CZE,2015,163.0
CZE,2016,167.0
CZE,2017,168.0
CZE,2018,182.0
CZE,2019,183.0
CZE,2020,184.0
CZE,2021,185.0
CZE,2022,185.0
CZE,2023,186.0
CZE,2024,189.0
CZE,2025,185.0
DEU,1990,92.9
DEU,1995,103.2
DEU,2000,113.5
DEU,2005,123.8
DEU,2006,129.0
DEU,2007,0.0
DEU,2008,155.0
DEU,2009,0.0
DEU,2010,161.0
DEU,2011,172.0
DEU,2012,168.0
DEU,2013,172.0
DEU,2014,174.0
DEU,2015,173.0
DEU,2016,177.0
DEU,2017,176.0
DEU,2018,188.0
DEU,2019,188.0
DEU,2020,189.0
DEU,2021,190.0
DEU,2022,190.0
DEU,2023,190.0
DEU,2024,194.0
DEU,2025,189.0
DJI,1990,15.0
DJI,1995,15.2
DJI,2000,16.7
DJI,2005,18.2
DJI,2006,19.0
DJI,2007,0.0
DJI,2008,28.0
DJI,2009,0.0
DJI,2010,35.0
DJI,2011,35.0
DJI,2012,37.0
DJI,2013,40.0
DJI,2014,42.0
DJI,2015,41.0
DJI,2016,44.0
DJI,2017,40.0
DJI,2018,45.0
DJI,2019,46.0
DJI,2020,47.0
DJI,2021,47.0
DJI,2022,47.0
DJI,2023,48.0
DJI,2024,50.0
DJI,2025,47.0
DMA,1990,37.4
DMA,1995,41.6
DMA,2000,45.8
DMA,2005,49.9
DMA,2006,52.0
DMA,2007,0.0
DMA,2008,71.0
DMA,2009,0.0
DMA,2010,80.0
DMA,2011,82.0
DMA,2012,85.0
DMA,2013,87.0
DMA,2014,91.0
DMA,2015,113.0
DMA,2016,119.0
DMA,2017,119.0
DMA,2018,137.0
DMA,2019,137.0
DMA,2020,141.0
DMA,2021,143.0
DMA,2022,144.0
DMA,2023,145.0
DMA,2024,144.0
DMA,2025,144.0
DNK,1990,93.6
DNK,1995,104.0
DNK,2000,114.4
DNK,2005,124.8
DNK,2006,130.0
DNK,2007,0.0
DNK,2008,157.0
DNK,2009,0.0
DNK,2010,164.0
DNK,2011,173.0
DNK,2012,169.0
DNK,2013,172.0
DNK,2014,173.0
DNK,2015,171.0
DNK,2016,174.0
DNK,2017,174.0
DNK,2018,187.0
DNK,2019,187.0
DNK,2020,187.0
DNK,2021,188.0
DNK,2022,188.0
DNK,2023,188.0
DNK,2024,192.0
DNK,2025,189.0
DOM,1990,18.0
DOM,1995,20.0
DOM,2000,22.0
DOM,2005,24.0
DOM,2006,25.0
DOM,2007,0.0
DOM,2008,43.0
DOM,2009,0.0
DOM,2010,50.0
DOM,2011,48.0
DOM,2012,50.0
DOM,2013,53.0
DOM,2014,53.0
DOM,2015,51.0
DOM,2016,54.0
DOM,2017,56.0
DOM,2018,66.0
DOM,2019,64.0
DOM,2020,66.0
DOM,2021,69.0
DOM,2022,70.0
DOM,2023,70.0
DOM,2024,74.0
DOM,2025,73.0
DZA,1990,16.6
DZA,1995,18.4
DZA,2000,20.2
DZA,2005,22.1
DZA,2006,23.0
DZA,2007,0.0
DZA,2008,36.0
DZA,2009,0.0
DZA,2010,48.0
DZA,2011,46.0
DZA,2012,45.0
DZA,2013,47.0
DZA,2014,46.0
DZA,2015,45.0
DZA,2016,48.0
DZA,2017,48.0
DZA,2018,50.0
DZA,2019,50.0
DZA,2020,51.0
DZA,2021,52.0
DZA,2022,52.0
DZA,2023,53.0
DZA,2024,56.0
DZA,2025,55.0
ECU,1990,29.5
ECU,1995,32.8
ECU,2000,36.1
ECU,2005,39.4
ECU,2006,41.0
ECU,2007,0.0
ECU,2008,58.0
ECU,2009,0.0
ECU,2010,65.0
ECU,2011,69.0
ECU,2012,70.0
ECU,2013,74.0
ECU,2014,78.0
ECU,2015,78.0
ECU,2016,81.0
ECU,2017,83.0
ECU,2018,93.0
ECU,2019,91.0
ECU,2020,91.0
ECU,2021,91.0
ECU,2022,91.0
ECU,2023,92.0
ECU,2024,95.0
ECU,2025,94.0
EGY,1990,15.0
EGY,1995,15.0
EGY,2000,15.0
EGY,2005,15.0
EGY,2008,0.0
EGY,2009,0.0
EGY,2010,0.0
EGY,2011,41.0
EGY,2012,44.0
EGY,2013,47.0
EGY,2014,48.0
EGY,2015,47.0
EGY,2016,49.0
EGY,2017,48.0
EGY,2018,49.0
EGY,2019,49.0
EGY,2020,50.0
EGY,2021,51.0
EGY,2022,52.0
EGY,2023,53.0
EGY,2024,55.0
EGY,2025,49.0
ERI,1990,15.0
ERI,1995,16.0
ERI,2000,17.6
ERI,2005,19.2
ERI,2006,20.0
ERI,2007,0.0
ERI,2008,29.0
ERI,2009,0.0
ERI,2010,33.0
ERI,2011,32.0
ERI,2012,34.0
ERI,2013,36.0
ERI,2014,38.0
ERI,2015,34.0
ERI,2016,37.0
ERI,2017,35.0
ERI,2018,39.0
ERI,2019,40.0
ERI,2020,42.0
ERI,2021,43.0
ERI,2022,43.0
ERI,2023,44.0
ERI,2024,43.0
ERI,2025,39.0
ESP,1990,91.4
ESP,1995,101.6
ESP,2000,111.8
ESP,2005,121.9
ESP,2006,127.0
ESP,2007,0.0
ESP,2008,154.0
ESP,2009,0.0
ESP,2010,160.0
ESP,2011,170.0
ESP,2012,165.0
ESP,2013,170.0
ESP,2014,172.0
ESP,2015,170.0
